filter,prod_name
Filter,Omnipure Sediment K5605 / AQUA K5605 / AQUA A1000 / Ken Series Sediment
Filter,Omnipure Carbon T33 / AQUA A3000 / Ken Series Pre Carbon
Filter,Filmtec R.O Membrane / AQUA R.O Membrane / R.O Membrane
Filter,Omnipure Carbon K5633 / AQUA A3000 / AQUA A5000 / Ken Series Post Carbon
Filter,1 Micron Refill Cartridge / PP Sediment
Filter,5 Micron Refill Cartridge / PP Sediment
Filter,5 Micron Refill Cartridge / PP Sediment (Buy 5 Free 1)
Filter,CTO Carbon Block
Filter,Loose Carbon
Filter,Ceramic Filter / Candle Ceramic Filter
Filter,"7.7'' / 8"" / 10'' AQUA Filter 1 Sediment"
Filter,"7.7'' / 8"" / 10'' AQUA Filter 2 Pre Carbon"
Filter,"7.7'' / 8"" / 10'' AQUA Filter 3 UF Membrane"
Filter,"7.7'' / 8"" / 10'' AQUA Filter 4 Post Carbon"
Filter,"7.7'' / 8"" / 10'' Korea Silver Carbon"
Filter,"5"" Korea Alkaline Filter"
Filter,"7.7'' / 8"" AQUA Filter 3A Alkaline Filter"
Filter,"10"" Korea Alkaline Filter"
Filter,Bio Aura Filter A Ceramic Filter
Filter,Bio Aura Filter B (Yellow)
Filter,Bio Aura Filter C (Green)
Filter,Diamond A Ceramic Filter 12 months
Filter,Diamond B Carbon Filter 12 months
Filter,Diamond C Carbon Filter 1 ½ Years
Filter,Diamond E Carbon Filter 2 Years
Filter,Diamond F Carbon Filter 2 ½ Years
Filter,Modify KEN SERIES FILTER (Return Ken Base) (Including membrane housing / elbow/ easy clip)
Filter,8'' Hydrogen Filter
Filter,10'' Hydrogen Filter
Filter,KYK Hisha
Filter,KYK FILTER 1
Filter,KYK FILTER 2
Filter,201 Undersink - PP 5 REFILL (SCREW UP TYPE)
Filter,201 Undersink - Carbon (SCREW UP TYPE)
Filter,201 Undersink - Silver Carbon (SCREW UP TYPE)
Electronic Part,AC Adaptor / DC Adaptor @ DC Transfomer
Electronic Part,AC Pump
Electronic Part,DC Pump
Electronic Part,Low Perssure Swicth
Electronic Part,High Pressure Swicth
Electronic Part,ESO / AC Solenoid Valve
Electronic Part,Col Sol Valve / Ken Series Col Sol Valve
Electronic Part,L Sol Valve / DC Solenoid Valve
Electronic Part,Weight Sensor ' 85 / ' 110 / ' 150 / ' 200
Electronic Part,BIO2 / BP200 / BIO 3 Main PCB Board
Electronic Part,919 / 929 PCB Board / Tempetature Board
Electronic Part,BIO2 / BP200 VFD
Electronic Part,BIO 2 Transformer
Electronic Part,BP200 Transformer
Electronic Part,KEN Transformer
Electronic Part,Mirco Swicth / Dual Function Switch
Electronic Part,BIO 2 / Bp200 Hot Thermister
Electronic Part,BIO 3 Cold Thermistor
Electronic Part,KEN 3 Cold Thermistor
Electronic Part,BP200 Tank Level Control
Electronic Part,300 Limit Valve
Electronic Part,New 300 Limit Valve
Electronic Part,Bi Metal
Electronic Part,Themostarter
Electronic Part,919 Float Ball
Electronic Part,Float Ball
Electronic Part,Ken Dual Function Switch
Electronic Part,Model S250 Tank Level Control Modify to Weight Sensor & AC Soleniod Valve
Electronic Part,AQUA 2105 Cold Controller
Electronic Part,AQUA 2105 Refill Compressor Gas
Electronic Part,AQUA 2105 Hot Silicone Tube
Electronic Part,AQUA 2105 Compressor
Electronic Part,AQUA 2105 Compressor Delay / Relay
Electronic Part,AQUA 2105 Hot Tank
Electronic Part,AQUA 8T PCB Board
Electronic Part,AQUA 2105 Service Charge
Acc,1/4'' 2 Way Tap / 1 Way Tape
Acc,T-Valve
Acc,Membrane Housing
Acc,Pre - Filter Oring
Acc,Pre - Filter Opener
Acc,Pre - Filter Housing / CTC Housing / ROC Housing
Acc,Mini Ceramic
Acc,Bio Ceramic
Acc,S250 Faucet
Acc,BIO1 Faucet
Acc,MS Level + Rubber
Acc,Undersink Stainless Steel Water Tap
Acc,Water Tap 919 / 929 / Weguard / Tong Yang / Magic / AQUA 1000
Acc,Alkaline System K1000 Water Tap
Acc,Female Water Boiler Tap
Acc,Table Tea Faucet
Acc,Silicon Tube
Acc,BIO2 Dispenser Cock
Acc,Easy Clip 4 in 1
Acc,R.O Undersink Pressure Tank 3.5 Gallon = 12Liters
Acc,4 ME 2 / 4 ME 4 / 4 MC 2 / 4 MC 4 / 4 UE 4 (2 Way Union)
Acc,4 SE 4 (Pump Join)
Acc,4 BU 4 (Backhead Union)
Acc,4 UT 4 (Union T / T-Join Elbow)
Acc,BV101 (Ball Valve / On Off Valve)
Acc,Household Water Tap
Acc,Household Water Tap Ceramic Filter
Acc,Dismantle & Reinstallation Fees
Acc,Dismantle Fees
Acc,Reinstallation Fees
Acc,Breakdown Service Charges
Acc,Own Filter Service Charges
Elken,Onmipure Sediment K5605
Elken,Onmipure Carbon T33
Elken,Filmtec R.O Membrane
Elken,Onmipure Carbon K5633
Elken,5 Micron Refill Cartridge3 pcs
Elken,L Sol Valve / DC Solenoid Valve
Elken,Col Sol Valve / Ken Series Col Sol Valve
Elken,DC Pump
Elken,Bio Ceramic
Elken,Mirco Swicth / Dual Function Switch
Elken,Service Charges
Elken,AC Adaptor
Elken,Contract 1 Year RM800 & 2 Years RM1280
